0,"@switchfoot http://twitpic.com/2y1zl - Awww, that's a bummer.  You shoulda got David Carr of Third Day to do it. ;D",,
0,is upset that he can't update his Facebook by texting it... and might cry as a result  School today also. Blah!,,
0,@Kenichan I dived many times for the ball. Managed to save 50%  The rest go out of bounds,,
0,my whole body feels itchy and like its on fire ,,
0,"@nationwideclass no, it's not behaving at all. i'm mad. why am i here? because I can't see you all over there. ",,
0,@Kwesidei not the whole crew ,,
0,Need a hug ,,
0,"@LOLTrish hey  long time no see! Yes.. Rains a bit ,only a bit  LOL , I'm fine thanks , how's you ?",,
0,@Tatiana_K nope they didn't have it ,,
0,@twittera que me muera ? ,,
0,spring break in plain city... it's snowing ,,
0,I just re-pierced my ears ,,
0,@caregiving I couldn't bear to watch it.  And I thought the UA loss was embarrassing . . . . .,,
0,"@octolinz16 It it counts, idk why I did either. you never talk to me anymore ",,
0,"@smarrison i would've been the first, but i didn't have a gun.    not really though, zac snyder's just a doucheclown.",,
0,@iamjazzyfizzle I wish I got to watch it with you!! I miss you and @iamlilnicki  how was the premiere?!,,
0,Hollis' death scene will hurt me severely to watch on film  wry is directors cut not out now?,,
0,about to file taxes ,,
0,@LettyA ahh ive always wanted to see rent  love the soundtrack!!,,
0,@FakerPattyPattz Oh dear. Were you drinking out of the forgotten table drinks? ,,
0,My beard is taking to long to grow,,
0,I'm so slow man. I just went to class and I was a whole hour early. \ud83d\ude2d\ud83d\ude02,,
0,I'm not putting my hand in there \ud83d\ude12 https:\/\/t.co\/gegnFmOMfm,,
2,@Uber_RSA * excuse my spelling mistakes , I had asked for my password to get emailed to me .,
4,You're right in the thick of things trying to discover a solut... More for Capricorn https:\/\/t.co\/kSt8H1TDWN,,
2,Don't forget to eat - episode 5 with myself, @DespaStayFresh @ChristianSoobz \ud83d\udcfb https:\/\/t.co\/Ws5Xg4COL6,
4,Yes finally I got to hear your voice \ud83d\ude0a\ud83d\ude0d\ud83d\udc4c,,
4,RT @halsey: Hey guys I think today we added an Indianapolis date to the Badlands Tour US summer dates. Wooooo,,
0,RT @SpeakerRyan: When President Obama claims his plan to close #Gitmo is not dangerous... https:\/\/t.co\/Jdwagltf4R https:\/\/t.co\/lG1Tj35eUi,,
4,A hidden feeling is the critical ingredient to an emotional st... More for Taurus https:\/\/t.co\/9hTcQ9gF6v,,
4,RT @EPFL_en: EPFL &amp; @ICRC launch the Humanitarian Tech Hub to help people in conflict zones https:\/\/t.co\/fPJOf6kSzi @PMaurerICRC https:\/\/t.\u2026,,
2,RT @Paul_Lopez_: Who is the most in demand actress to date? RT before Voting!,,
0,The first rule of political analyst club is if #Sanders is winning states, don't talk about it cause we donated a lot of money to #Hillary,
4,Want cheap flights and bargain holidays? This could be the ultimate way to find them: I... https:\/\/t.co\/ISkP8fDJMe https:\/\/t.co\/Tz6jeCt0Pb,,
4,free way to earn dollars \n &amp; withdraw to your bank  account\nASAP\nhttps:\/\/t.co\/L6tQZlRcAd,,
0,I was not risking my life to rescue a brick. \ud83d\ude32\ud83d\ude06 \n\n#fun #lol #lmao #laugh #laugheveryday #giggles\u2026 https:\/\/t.co\/jZCoeNy5GY,,
0,Why do lose 10-20 followers a day don't follow to unfollow u clowns,,
2,I'm pretty sure The Division's story line mission requirements goes from level 18 to 22..,,
2,Patient Safety Awareness Week is March 13-19. Join IHA and the Indiana Patient Safety Center to reach our goal of zero patient harms.,,
4,@ninamnam Applying for everything you see is the key, apply to 20 jobs, and get an interview at one. Usually. :)
0,@alydesigns i was out most of the day so didn't get much done ,,
0,"one of my friend called me, and asked to meet with her at Mid Valley today...but i've no time *sigh* ",,
0,@angry_barista I baked you a cake but I ated it ,,
0,this week is not going as i had hoped ,,
0,blagh class at 8 tomorrow ,,
0,I hate when I have to call and wake people up ,,
0,Just going to cry myself to sleep after watching Marley and Me.  ,,
0,im sad now  Miss.Lilly,,
0,ooooh.... LOL  that leslie.... and ok I won't do it again so leslie won't  get mad again ,,
0,Meh... Almost Lover is the exception... this track gets me depressed every time. ,,
0,some1 hacked my account on aim  now i have to make a new one,,
0,@alielayus I want to go to promote GEAR AND GROOVE but unfornately no ride there  I may b going to the one in Anaheim in May though,,
0,thought sleeping in was an option tomorrow but realizing that it now is not. evaluations in the morning and work in the afternoon! ,,
0,@julieebaby awe i love you too!!!! 1 am here  i miss you,,
0,@HumpNinja I cry my asian eyes to sleep at night ,,
0,ok I'm sick and spent an hour sitting in the shower cause I was too sick to stand and held back the puke like a champ. BED now ,,
0,@cocomix04 ill tell ya the story later  not a good day and ill be workin for like three more hours...,,
0,@MissXu sorry! bed time came here (GMT+1)   http://is.gd/fNge,,
0,@fleurylis I don't either. Its depressing. I don't think I even want to know about the kids in suitcases. ,,
0,Bed. Class 8-12. Work 12-3. Gym 3-5 or 6. Then class 6-10. Another day that's gonna fly by. I miss my girlfriend ,,
0,really don't feel like getting up today... but got to study to for tomorrows practical exam... ,,
0,He's the reason for the teardrops on my guitar the only one who has enough of me to break my heart ,,
0,"Sad, sad, sad. I don't know why but I hate this feeling  I wanna sleep and I still can't!",,
0,@JonathanRKnight Awww I soo wish I was there to see you finally comfortable! Im sad that I missed it ,,
0,Falling asleep. Just heard about that Tracy girl's body being found. How sad  My heart breaks for that family.,,
0,@Viennah Yay! I'm happy for you with your job! But that also means less time for me and you... ,,
0,"Just checked my user timeline on my blackberry, it looks like the twanking is still happening  Are ppl still having probs w/ BGs and UIDs?",,
0,Oh man...was ironing @jeancjumbe's fave top to wear to a meeting. Burnt it ,,
0,is strangely sad about LiLo and SamRo breaking up. ,,
